<<<<<<< HEAD
timestep	p1
0	8.281183369
100	8.492174182
200	8.423243257
300	8.401229953
400	8.401464412
500	8.410684793
600	8.415152419
700	8.075322733
800	7.911182582
900	7.97397169
1000	8.190442776
1100	8.205563102
1200	8.160712897
1300	8.009294949
1400	7.466904551
1500	8.00377682
1600	7.840992721
1700	7.679953587
1800	7.509708481
1900	8.16825686
2000	7.107303724
2100	6.466305069
2200	6.497423344
2300	6.357159188
2400	6.903872141
2500	8.365101056
2600	8.082944483
2700	8.132042915
2800	8.244800447
2900	8.296989346
3000	8.675579376
3100	8.182261156
3200	8.136508362
3300	8.203536929
3400	8.165214642
3500	8.105660513
3600	7.935091963
3700	7.733266199
3800	7.61455809
3900	7.554439738
4000	7.306276216
4100	6.954593494
4200	7.168294072
4300	7.868757778
4400	8.292637734
4500	8.430004804
4600	8.656434897
4700	8.848203559
4800	9.298867057
4900	9.5752056
5000	9.866036029
5100	10.35255698
5200	11.05888848
5300	10.28056463
5400	9.821564398
5500	9.997777256
5600	9.999646074
5700	9.66437925
5800	9.734972915
5900	11.48579105
6000	11.59398675
6100	11.72503873
6200	11.74952421
6300	12.65838667
6400	13.60288604
6500	14.29057495
6600	14.66259636
6700	14.69807049
6800	14.85554516
6900	15.32283637
7000	16.52679328
7100	17.06873465
7200	17.2360572
7300	16.96597314
7400	15.62630598
7500	16.48158302
7600	16.51786789
7700	16.71276065
7800	16.5283647
7900	16.62538706
8000	18.91504152
8100	20.1663529
8200	20.66029094
8300	20.36670007
8400	20.44153893
8500	19.94297523
8600	19.8618462
8700	19.6827964
8800	19.85066832
8900	19.87801176
9000	20.64417479
9100	20.17612712
9200	19.68854575
9300	19.28813221
9400	18.47809953
9500	18.35250046
9600	17.44965541
9700	17.27302763
9800	16.967812
9900	16.68288778
10000	16.78960857
10100	18.35011809
10200	19.48498297
10300	18.95388811
10400	17.89034268
10500	17.74154767
10600	18.38178848
10700	18.63721509
10800	19.09495374
10900	19.4078807
11000	20.22918334
11100	21.81645849
11200	21.1877885
11300	21.21639014
11400	20.53046946
11500	19.8362672
11600	19.79872135
11700	18.82407765
11800	18.71650136
11900	18.56242267
12000	17.96618787
12100	18.16354083
12200	18.61508087
12300	18.49856372
12400	17.90195602
12500	17.28853408
12600	16.57534974
12700	16.36971745
12800	16.94992655
12900	17.64747788
13000	18.05500206
13100	18.12141866
13200	17.86749898
13300	17.55378284
13400	17.22917266
13500	17.74710247
13600	17.68178133
13700	17.36913773
13800	16.45086579
13900	15.60015799
14000	15.56768336
14100	16.26871812
14200	15.93106694
14300	15.50402441
14400	14.79771469
14500	14.51442
14600	14.60096612
14700	15.17770187
14800	15.98609571
14900	16.76641433
15000	17.34167186
15100	17.71127075
15200	19.06906377
15300	19.52902188
15400	19.55859372
15500	18.69461394
15600	18.21959247
15700	17.80455
15800	17.33208134
15900	16.8696763
16000	16.50919222
16100	16.23711579
16200	16.32724623
16300	16.74528924
16400	17.13295994
16500	17.57225854
16600	17.78303487
16700	16.85214114
16800	15.42365469
16900	14.52363706
17000	13.88285327
17100	12.93097605
17200	12.3891792
17300	12.00792971
17400	11.89987924
17500	11.47742098
17600	11.79711732
17700	11.80977103
17800	11.82909221
17900	12.09677292
18000	12.97384953
18100	14.2405708
18200	14.51337942
18300	14.92871139
18400	14.8654565
18500	14.47492378
18600	14.59327722
18700	14.45985778
18800	15.06630128
18900	14.84577569
19000	14.6355784
19100	15.22778458
19200	15.87762373
19300	16.87391037
19400	16.51757101
19500	16.11861566
19600	16.08723544
19700	16.00290405
19800	15.04027236
19900	15.29189862
20000	16.00123356
20100	15.11568027
20200	14.65093936
20300	14.55044428
20400	14.16407663
20500	13.72241334
20600	13.22136565
20700	12.42521969
20800	11.10305287
20900	11.36533339
21000	11.34221929
21100	10.95274944
21200	10.99708489
21300	12.29171903
21400	13.93825816
21500	15.59115675
21600	16.77589497
21700	17.16057396
21800	17.48276585
21900	17.79892448
22000	17.50137647
22100	17.45402719
22200	17.13658815
22300	17.35730628
22400	16.96590529
22500	16.55806658
22600	16.5181096
22700	17.48347581
22800	17.67412037
22900	16.75332741
23000	16.28536875
23100	16.4924923
23200	16.41603122
23300	16.56578456
23400	17.17298062
23500	17.7280409
23600	18.1486282
23700	19.32576893
23800	20.98394481
23900	21.83506697
24000	20.58965751
24100	20.39143886
24200	20.52108785
24300	20.88148155
24400	21.46133407
24500	21.42460442
24600	21.97306137
24700	22.48034495
24800	22.85308464
24900	23.02993978
25000	22.84660655
25100	22.76118641
25200	23.15204591
25300	22.29293415
25400	21.00488773
25500	20.52849932
25600	20.50241883
25700	20.53782246
25800	20.23010175
25900	19.83742808
26000	19.75925462
26100	20.61301845
26200	21.24643058
26300	21.16655381
26400	20.47330528
26500	20.18500222
26600	20.31092574
26700	19.83601419
26800	19.97604504
26900	20.51915913
27000	20.63829678
27100	20.83554402
27200	21.4795713
27300	22.1214813
27400	22.22061871
27500	22.20900341
27600	22.40020406
27700	23.24516013
27800	24.43621273
27900	25.17721959
28000	25.01329532
28100	24.80619135
28200	25.35625673
28300	23.98089169
28400	23.94559786
28500	24.34361266
28600	25.08395336
28700	26.13975041
28800	27.70316885
28900	27.25457341
29000	27.20292599
29100	26.52531842
29200	26.04363451
29300	25.9125223
29400	26.40640325
29500	25.99431199
29600	25.63045258
29700	25.44630568
29800	26.28352693
29900	26.95256421
30000	26.67751289
30100	26.51195254
30200	25.40730371
30300	24.56349086
30400	24.06552616
30500	23.96528506
30600	24.73730822
30700	24.19106579
30800	22.79320175
30900	22.54387157
31000	22.76603443
31100	23.07936827
31200	23.29228976
31300	23.52768773
31400	24.27943736
31500	24.35123489
31600	24.69463476
31700	33.51202857
31800	33.70749271
31900	34.36900232
32000	24.02165766
32100	22.36185477
32200	21.2793434
32300	20.39304358
32400	18.74742762
32500	18.09805099
32600	17.79088005
32700	18.0553065
32800	17.95544442
32900	18.0981433
33000	18.6917313
33100	19.61766923
33200	18.85107621
33300	18.596854
33400	18.44933412
33500	17.97717112
33600	18.35102088
33700	19.02996555
33800	18.5886939
33900	17.77437983
34000	17.42747978
34100	17.81777232
34200	18.46860168
34300	18.49360829
34400	17.7038316
34500	17.34673393
34600	17.27949924
34700	18.0027505
34800	19.11264746
34900	19.86321287
35000	20.69642402
35100	21.99055971
35200	22.49484168
35300	22.55502618
35400	22.62207062
35500	22.62737126
35600	22.47789115
35700	22.37411934
