timestep	p1
0	5.750442173
100	5.646844543
200	5.818066178
300	5.825081794
400	5.843325415
500	5.846306899
600	6.089440699
700	7.015167726
800	7.479672179
900	7.561469071
1000	7.680018884
1100	7.927743642
1200	8.471778145
1300	7.386049162
1400	6.849888761
1500	6.988838273
1600	7.248204388
1700	7.585658788
1800	8.213500559
1900	6.535044671
2000	5.087401195
2100	5.204536207
2200	5.121878626
2300	5.277925319
2400	4.791158
2500	5.820450554
2600	6.428315853
2700	6.681753726
2800	7.105109977
2900	7.588523695
3000	7.461135441
3100	7.612939269
3200	7.480134525
3300	7.386056926
3400	7.076939441
3500	6.30584493
3600	6.440889098
3700	6.283071634
3800	6.448948993
3900	6.403926517
4000	5.127586185
4100	5.799835564
4200	6.484065101
4300	6.683450528
4400	6.825696642
4500	6.956467435
4600	7.134979437
4700	6.52493092
4800	6.889493115
4900	7.111607239
5000	7.392005905
5100	8.50692166
5200	9.26664685
5300	9.019205704
5400	8.739255873
5500	8.504679179
5600	9.087723184
5700	8.777688022
5800	8.418075553
5900	8.709568645
6000	9.087518056
6100	9.259953901
6200	9.344185014
6300	8.771840424
6400	8.841762106
6500	9.023157105
6600	8.279241783
6700	7.601309801
6800	6.485515669
6900	5.934650381
7000	5.609708186
7100	5.145240431
7200	4.329868338
7300	3.692588293
7400	3.658423485
7500	3.582618196
7600	3.796604005
7700	4.71794219
7800	4.74238187
7900	4.847033605
8000	5.845039957
8100	6.695293049
8200	7.160725153
8300	6.674586779
8400	6.790163435
8500	6.257877117
8600	6.42189772
8700	6.934470297
8800	7.784100541
8900	8.311744922
9000	7.58473679
9100	7.171361162
9200	6.663230363
9300	6.73355872
9400	6.499210124
9500	7.262522692
9600	7.499830711
9700	7.840433364
9800	7.804579673
9900	7.9092362
10000	7.831180672
10100	8.136758237
10200	8.502532211
10300	8.548939249
10400	7.646541226
10500	6.829086098
10600	6.446180435
10700	6.240382076
10800	6.537732488
10900	7.402043665
11000	7.589292311
11100	7.807364409
11200	7.524985791
11300	7.126028042
11400	6.649370287
11500	6.257941191
11600	5.836063041
11700	5.059219749
11800	4.480562192
11900	3.927764008
12000	2.617630954
12100	1.130036995
12200	1.243843351
12300	1.087870208
12400	1.064999897
12500	1.251122509
12600	1.229793252
12700	1.380352192
12800	1.254578049
12900	1.115198183
13000	1.159677244
13100	1.241176748
13200	1.074445031
13300	1.372377836
13400	1.051799884
13500	1.211797104
13600	1.211068775
13700	1.056285163
13800	1.317366513
13900	1.270273037
14000	1.208806418
14100	1.20106377
14200	1.143099173
14300	1.271883977
14400	1.079086231
14500	1.092981406
14600	1.196128626
14700	1.070576272
14800	1.154347561
14900	1.040677874
15000	1.204945436
15100	1.220956242
15200	1.219771177
15300	1.068970238
15400	1.156843259
15500	1.044613905
15600	1.323048652
15700	1.219553912
15800	1.091663372
15900	1.211410467
16000	1.186516081
16100	1.274189352
16200	1.112668877
16300	1.161481923
16400	1.151332416
16500	1.072047414
16600	1.234291811
16700	1.223272261
16800	1.25985492
16900	1.10041722
17000	1.207959351
17100	1.207165659
17200	1.056933997
17300	1.04585094
17400	1.189383376
17500	1.055084572
17600	1.190248237
17700	1.228735182
17800	1.167124526
17900	1.270131714
18000	1.262205299
18100	1.086085887
18200	1.204912204
18300	1.190036798
18400	1.272532476
18500	1.277300214
18600	1.236964244
18700	1.120420856
18800	1.060554367
18900	1.259057059
19000	1.283612529
19100	1.194044962
19200	1.225567181
19300	1.177537749
19400	1.05754675
19500	1.254427073
19600	1.204307985
19700	1.206528419
19800	1.122915031
19900	1.223928724
20000	1.06126904
20100	1.127012397
20200	1.075076861
20300	1.219236666
20400	1.06945864
20500	1.16234986
20600	1.114672789
20700	1.181514637
20800	1.234344332
20900	1.106784641
21000	1.226333045
21100	1.051564656
21200	1.169510155
21300	1.239715777
21400	1.178229451
21500	1.205117174
21600	1.089384656
21700	1.118178589
21800	1.184321454
21900	1.241487041
22000	1.063778513
22100	1.209447776
22200	1.128805478
22300	1.236712867
22400	1.084466405
22500	1.203527628
22600	1.093965997
22700	1.236469222
22800	1.086174813
22900	1.141008313
23000	1.236705133
23100	1.067099731
23200	1.200920368
23300	1.15720756
23400	1.23010658
23500	1.121250763
23600	1.125337646
23700	1.218598293
23800	1.146561574
23900	1.189400821
24000	1.078398045
24100	1.237857673
24200	1.151315844
24300	1.219888933
24400	1.072981777
24500	1.177307752
24600	1.235931952
24700	1.053648042
24800	1.238014771
24900	1.128553811
25000	1.167251395
25100	1.249151577
25200	1.110635193
25300	1.180271137
25400	1.139557944
25500	1.193914883
25600	1.20482239
25700	1.091210988
25800	1.22602105
25900	1.079212141
26000	1.240522995
26100	1.081714504
26200	1.195402328
26300	1.082094932
26400	1.242398702
26500	1.051350711
26600	1.232915686
26700	1.124804288
26800	1.228656928
26900	1.056178475
27000	1.248891184
27100	1.122661544
27200	1.17700784
27300	1.162875959
27400	1.201268258
27500	1.178895593
27600	1.08243343
27700	1.24294481
27800	1.100764547
27900	1.226693088
28000	1.055212655
28100	1.222426762
28200	1.227670874
28300	1.053774885
28400	1.231503139
28500	1.071143372
28600	1.238319573
28700	1.080527916
28800	1.119613726
28900	1.244186669
29000	1.062011531
29100	1.23165891
29200	1.089741848
29300	1.244066617
29400	1.178665225
29500	1.103159177
29600	1.224320595
29700	1.080726168
29800	1.239831284
29900	1.079589982
30000	1.21129455
30100	1.171866339
30200	1.204163547
30300	1.085218577
30400	1.215580587
30500	1.2228188
30600	1.062740448
30700	1.229672971
30800	1.093777993
30900	1.242621889
31000	1.074137947
31100	1.143667801
31200	1.239947937
31300	1.057118927
31400	1.229752421
31500	1.071652747
31600	1.250055183
31700	1.062826769
31800	1.229241037
31900	1.169932854
32000	1.157344499
32100	1.167213606
32200	1.204806504
32300	1.173824244
32400	1.074801453
32500	1.240340523
32600	1.077626181
32700	1.238803352
32800	1.052312271
32900	1.189833791
33000	1.257174242
33100	1.111327378
33200	1.221825967
33300	1.067852332
33400	1.241799057
33500	1.129798241
33600	1.131694709
33700	1.200132416
33800	1.175191664
33900	1.118579355
34000	1.15655294
34100	1.247627321
34200	1.073341736
34300	1.223144058
34400	1.14369434
34500	1.223906602
34600	1.064191137
34700	1.182136336
34800	1.100682655
34900	1.211238778
35000	1.169820494
35100	1.221179733
35200	1.055270998
35300	1.228136001
35400	1.075792828
35500	1.194042827
35600	1.096826759
35700	1.247263958
35800	1.115749342
35900	1.213443079
36000	1.077160716
36100	1.192575603
36200	1.134035342
36300	1.232451139
36400	1.087389506
36500	1.176085345
36600	1.22155968
36700	1.085514238
36800	1.22731364
36900	1.11324874
37000	1.231701232
37100	1.062989975
37200	1.238469361
37300	1.054848225
37400	1.236110648
37500	1.058391732
37600	1.234114252
37700	1.071452208
37800	1.23575216
37900	1.054957045
38000	1.231841572
38100	1.056007706
38200	1.234628372
38300	1.057528025
38400	1.240853613
38500	1.064908582
38600	1.216121157
38700	1.12314782
38800	1.232878139
38900	1.053307311
39000	1.232966609
39100	1.077675414
39200	1.224857119
39300	1.056427841
39400	1.242283983
39500	1.071254831
39600	1.231741309
39700	1.054922839
39800	1.240009473
39900	1.16779743
40000	1.146462513
40100	1.184632112
40200	1.16601312
40300	1.184063971
40400	1.162160748
40500	1.195724166
40600	1.166903705
40700	1.192504473
40800	1.098170099
40900	1.237434875
41000	1.078032341
41100	1.205831341
41200	1.134902645
41300	1.241218217
41400	1.061207406
41500	1.230490267
41600	1.060289536
41700	1.237282429
41800	1.055652873
41900	1.238251824
42000	1.063979012
42100	1.233263053
42200	1.09718921
42300	1.238132703
42400	1.062711125
42500	1.234810056
42600	1.10590435
42700	1.200594088
42800	1.101532363
42900	1.233230904
43000	1.056685694
43100	1.245723331
43200	1.121440874
43300	1.130958512
43400	1.180758186
43500	1.203976269
43600	1.155300878
43700	1.08021943
43800	1.232989453
43900	1.095098847
44000	1.229355246
44100	1.073040348
44200	1.234770401
44300	1.055292301
44400	1.232432716
44500	1.101469506
44600	1.227013812
44700	1.057945448
44800	1.241342228
44900	1.064737348
45000	1.229251631
45100	1.059669463
45200	1.237042634
45300	1.073152531
45400	1.203607841
45500	1.188476289
45600	1.200782934
45700	1.057134865
45800	1.243576889
45900	1.052597528
46000	1.235926388
46100	1.061660763
46200	1.231994657
46300	1.056316205
46400	1.231483395
46500	1.065822001
46600	1.243173294
46700	1.058294753
46800	1.23969503
46900	1.066722949
47000	1.231202427
47100	1.087372012
47200	1.217420117
47300	1.096956638
47400	1.230153865
47500	1.068430621
47600	1.241455903
47700	1.057132972
47800	1.237091703
47900	1.053909038
48000	1.23709376
48100	1.066096006
48200	1.232636068
48300	1.087657928
48400	1.229092216
48500	1.077616973
48600	1.233507879
48700	1.058369403
48800	1.233806036
48900	1.051712101
49000	1.236774366
49100	1.058620622
49200	1.233806559
49300	1.053132211
49400	1.239955293
49500	1.06000869
49600	1.236225256
49700	1.062846792
49800	1.212391614
49900	1.106265657
50000	1.238521849
50100	1.065347919
50200	1.225383817
50300	1.089425689
50400	1.218709353
50500	1.132666846
50600	1.204457229
50700	1.136925845
50800	1.186894112
50900	1.179684385
51000	1.111077952
51100	1.20448283
51200	1.121402179
51300	1.238483456
51400	1.055153124
51500	1.233151591
51600	1.089591914
51700	1.19662565
51800	1.125668243
51900	1.22765222
52000	1.108964364
52100	1.214225062
52200	1.086149194
52300	1.244033628
52400	1.066360404
52500	1.217159228
52600	1.162425656
52700	1.177698649
52800	1.133469709
52900	1.231730858
53000	1.078031842
53100	1.19599366
53200	1.192701463
53300	1.120696163
53400	1.159046831
53500	1.210365998
53600	1.117829588
53700	1.166953006
53800	1.194619984
53900	1.173361173
54000	1.073542164
54100	1.213981471
54200	1.150373554
54300	1.075764124
54400	1.233491687
54500	1.113626753
54600	1.23059111
54700	1.060109823
54800	1.207167191
54900	1.192944162
55000	1.128715017
55100	1.172274132
55200	1.164294791
55300	1.207542392
55400	1.057700483
55500	1.237381273
55600	1.075439936
55700	1.229376439
55800	1.088247803
55900	1.18638688
56000	1.186911918
56100	1.16472812
