timestep	p0x	p0y	p0z	plx	ply	plz	ree
225900	8.785247737	0.8946674812	2.795393657	-9.93052237	0.08637876014	9.852215983	20.0182947
226000	8.852508737	1.286833265	2.331566501	-10.76462285	0.04147705644	9.62424391	20.96582714
226100	8.338590417	1.837116339	1.744961321	-11.38109926	0.3382312309	9.146805639	21.11634714
226200	8.750938007	2.44371932	0.9254407284	-11.61432532	-0.06627537707	8.706926019	21.94528507
226300	9.305684967	2.673592729	0.4819066675	-11.26684596	0.5614795593	8.896098105	22.3268598
226400	9.139879717	3.158501579	0.4682371171	-12.0004106	1.059874269	8.738936303	22.79738091
226500	8.94808035	3.292532636	0.4842344117	-12.14771022	1.90835288	8.205975611	22.50719042
226600	8.68704705	3.069355158	0.1655856849	-11.90412473	2.136825764	7.36609752	21.83376598
226700	8.298038193	2.987550435	-0.6293261928	-11.3137211	2.197106997	6.587870389	20.91252806
226800	8.780158466	3.558125801	-1.570233135	-10.90542233	3.13904773	6.382152833	21.23530458
226900	9.003745736	4.06545347	-2.314579936	-11.30755579	3.41855812	6.969696336	22.34200594
227000	9.431648721	4.525488494	-2.206276743	-11.68001358	2.978498907	6.829897271	23.01625301
227100	9.978635647	4.996691556	-2.047252667	-12.14107718	2.386550215	5.967887992	23.67143876
227200	10.6534719	5.136857343	-2.157189058	-11.47079988	2.512744027	5.21097855	23.4661302
227300	11.26161884	5.298363834	-2.494869794	-11.66168097	2.024252097	4.945800538	24.32202822
227400	11.76461704	5.423042423	-2.325988306	-11.7528807	2.327738295	4.891278795	24.79400233
227500	11.90816597	5.740844597	-2.19872499	-11.66725624	2.735805913	4.395322071	24.66398683
227600	12.43657399	5.51666291	-2.026063301	-11.74395034	2.586639136	3.643147501	25.00845351
227700	12.86238159	5.614931027	-2.268455434	-11.15520406	2.968519117	3.261970117	24.78776963
227800	13.68037662	5.186219336	-2.152277368	-10.47323792	3.527432739	3.179714718	24.79070002
227900	-13.12703119	4.913539022	-1.685451132	-10.14059968	3.71221163	3.225009167	5.871505856
228000	-12.26974223	5.059526618	-1.638125001	-9.671316048	3.487524696	3.352810209	5.842297745
228100	-10.4269899	5.217337264	-1.60953951	-8.813039412	3.272221846	4.112884215	6.255752828
228200	-10.07971881	4.9870559	-0.1938584988	-8.541162392	3.470707223	5.055494501	5.676458059
228300	-10.37152056	4.963376784	0.8312415056	-8.983900241	3.750287076	5.664643352	5.172895727
228400	-10.64281415	4.69304648	1.15597558	-9.163285992	3.994217219	6.191289626	5.29450219
228500	-10.3652683	4.242709132	1.23747914	-9.40605717	4.02419303	6.316810919	5.173726567
228600	-10.2191489	4.285095148	1.970377676	-9.885886629	3.401450729	6.524008386	4.650531565
228700	-9.574019349	4.137605587	2.453420803	-9.852121526	3.091233052	7.421047692	5.084245589
228800	-9.098587164	4.064612208	2.67417847	-9.335808877	2.760290974	7.473571103	4.979126195
228900	-8.814622165	3.626648096	3.030564933	-8.951797107	2.520619834	7.571394758	4.675601671
229000	-8.043659128	3.219709135	3.649660019	-8.647720324	2.420272512	8.093775952	4.555672866
229100	-7.607922345	2.501961564	4.028196973	-8.402003495	2.572944783	8.222001999	4.268911347
229200	-7.367142286	2.103930874	4.392772673	-8.035441998	2.72528617	8.091229324	3.809368518
229300	-7.229421162	1.700143714	4.67574793	-7.202225209	2.936149619	7.937254651	3.487961626
229400	-7.148369323	1.563588537	4.601812109	-6.809675328	2.946411896	7.244173857	3.001497904
